Tabel Penjualan,,,,

penjualan_id,produk_id,jumlah,tanggal,
1,1,50.00,12/1/2024,
2,2,70.00,12/2/2024,
3,3,100.00,12/3/2024,
4,4,60.00,12/4/2024,
5,5,80.00,12/5/2024,
6,6,90.00,12/6/2024,
7,7,50.00,12/7/2024,
8,8,40.00,12/8/2024,
9,9,60.00,12/9/2024,
10,10,70.00,12/10/2024,
11,11,50.00,12/11/2024,
12,12,30.00,12/12/2024,
13,13,80.00,12/13/2024,
14,14,90.00,12/14/2024,
15,15,100.00,12/15/2024,
16,16,50.00,12/16/2024,
17,17,120.00,12/17/2024,
18,18,60.00,12/18/2024,
19,19,90.00,12/19/2024,
20,20,110.00,12/20/2024,
